pmid,score,title,date,journal,pubtype,abstract,chemicals,topics,keywords,meshterms
36290681,8.582344554763777,Roles of Oxidative Stress and Inflammation in Vascular Endothelial Dysfunction-Related Disease.,30-10-2022,"Antioxidants (Basel, Switzerland)","Journal Article,Review","Oxidative stress and chronic inflammation play an important role in the pathogenesis of atherosclerosis. Atherosclerosis develops as the first step of vascular endothelial dysfunction induced by complex molecular mechanisms. Vascular endothelial dysfunction leads to oxidative stress and inflammation of vessel walls, which in turn enhances vascular endothelial dysfunction. Vascular endothelial dysfunction and vascular wall oxidative stress and chronic inflammation make a vicious cycle that leads to the development of atherosclerosis. Simultaneously capturing and accurately evaluating the association of vascular endothelial function with oxidative stress and inflammation would be useful for elucidating the pathophysiology of atherosclerosis, determining treatment efficacy, and predicting future cardiovascular complications. Intervention in both areas is expected to inhibit the progression of atherosclerosis and prevent cardiovascular complications.",,,"atherosclerosis,endothelial function,inflammation,oxidative stress",
35958017,8.553289948606336,Mitochondrial Dysfunction and Cardiovascular Disease: Pathophysiology and Emerging Therapies.,15-08-2022,Oxidative medicine and cellular longevity,"Journal Article,Review","Mitochondria ensure the supply of cellular energy through the production of ATP via oxidative phosphorylation. The alteration of this process, called mitochondrial dysfunction, leads to a reduction in ATP and an increase in the production of reactive oxygen species (ROS). Mitochondrial dysfunction can be caused by mitochondrial/nuclear DNA mutations, or it can be secondary to pathological conditions such as cardiovascular disease, aging, and environmental stress. The use of therapies aimed at the prevention/correction of mitochondrial dysfunction, in the context of the specific treatment of cardiovascular diseases, is a topic of growing interest. In this context, the data are conflicting since preclinical studies are numerous, but there are no large randomized studies.","DNA, Mitochondrial,Reactive Oxygen Species,Adenosine Triphosphate",,,"Adenosine Triphosphate,Cardiovascular Diseases,DNA, Mitochondrial,Humans,Mitochondria,Oxidative Phosphorylation,Oxidative Stress,Reactive Oxygen Species"
35508708,8.55162080839486,GATA6 is predicted to regulate DNA methylation in an in vitro model of human hepatocyte differentiation.,06-05-2022,Communications biology,Journal Article,"Hepatocytes are the dominant cell type in the human liver, with functions in metabolism, detoxification, and producing secreted proteins. Although gene regulation and master transcription factors involved in the hepatocyte differentiation have been extensively investigated, little is known about how the epigenome is regulated, particularly the dynamics of DNA methylation and the critical upstream factors. Here, by examining changes in the transcriptome and the methylome using an in vitro hepatocyte differentiation model, we show putative DNA methylation-regulating transcription factors, which are likely involved in DNA demethylation and maintenance of hypo-methylation in a differentiation stage-specific manner. Of these factors, we further reveal that GATA6 induces DNA demethylation together with chromatin activation in a binding-site-specific manner during endoderm differentiation. These results provide an insight into the spatiotemporal regulatory mechanisms exerted on the DNA methylation landscape by transcription factors and uncover an epigenetic role for transcription factors in early liver development.","GATA6 Transcription Factor,GATA6 protein, human",,,"Cell Differentiation,Chromatin Immunoprecipitation,DNA Methylation,GATA6 Transcription Factor,Hepatocytes,Humans"
36135714,8.515191309195824,Pesticide Pollution: Detrimental Outcomes and Possible Mechanisms of Fish Exposure to Common Organophosphates and Triazines.,28-09-2022,Journal of xenobiotics,"Journal Article,Review","Pesticides are well known for their high levels of persistence and ubiquity in the environment, and because of their capacity to bioaccumulate and disrupt the food chain, they pose a risk to animals and humans. With a focus on organophosphate and triazine pesticides, the present review aims to describe the current state of knowledge regarding spatial distribution, bioaccumulation, and mode of action of frequently used pesticides. We discuss the processes by which pesticides and their active residues are accumulated and bioconcentrated in fish, as well as the toxic mechanisms involved, including biological redox activity, immunotoxicity, neuroendocrine disorders, and cytotoxicity, which is manifested in oxidative stress, lysosomal and mitochondrial damage, inflammation, and apoptosis/autophagy. We also explore potential research strategies to close the gaps in our understanding of the toxicity and environmental risk assessment of organophosphate and triazine pesticides.",,,"accumulation,adverse outcomes,fish,organophosphate pesticides,toxicity,triazine pesticides",
36150920,8.490627556318783,The role of timing in frozen embryo transfer.,25-10-2022,Fertility and sterility,"Journal Article,Review","The process of implantation is characterized by a complex cross-talk between the endometrium and the blastocyst, with the endometrium only being receptive to implantation during a transient window of implantation of approximately 2-3 days during the midsecretory phase. The timing of embryo transfer, including frozen embryo transfer, is therefore critical to the success of implantation. In this article, we discuss various elements that may guide the timing of frozen embryo transfer, including the role of endometrial characteristics such as thickness, days postovulation or length of progesterone administration, stage of the embryo, and the application of endometrial receptivity tests to guide personalized embryo transfer.",Progesterone,,"Day 5,ERA,day 6,endometrial receptivity test,progesterone administration","Pregnancy,Female,Humans,Progesterone,Pregnancy Rate,Embryo Transfer,Embryo Implantation,Endometrium"
36066747,8.467546985402524,Cognitive Impairment and Neurodegenerative Diseases Development Associated with Organophosphate Pesticides Exposure: a Review Study.,29-09-2022,Neurotoxicity research,"Journal Article,Review","A significant body of literature emphasizes the role of insecticide, particularly organophosphates (OPs), as the major environmental factor in the etiology of neurodegenerative diseases. This review aims to study the relationship between OP insecticide exposure, cognitive impairment, and neurodegenerative disease development. Human populations, especially in developing countries, are frequently exposed to OPs due to their extensive applications. The involvement of various signaling pathways in OP neurotoxicity are reported, but the OP-induced cognitive impairment and link between OP exposure and the pathophysiology of neurodegenerative diseases are not clearly understood. In the present review, we have therefore aimed to come to new conclusions which may help to find protective and preventive strategies against OP neurotoxicity and may establish a possible link between organophosphate exposure, cognitive impairment, and OP-induced neurotoxicity. Moreover, we discuss the findings obtained from animal and human research providing some support for OP-induced cognitive impairment and neurodegenerative disorders.","Insecticides,Organophosphates,Organophosphorus Compounds",,"Cognitive impairment,Neurodegenerative diseases,Neurotoxicity,Organophosphate exposure","Animals,Cognitive Dysfunction,Environmental Exposure,Humans,Insecticides,Neurodegenerative Diseases,Neurotoxicity Syndromes,Organophosphates,Organophosphorus Compounds"
35574027,8.46389693972468,Estrogenic Pastures: A Source of Endocrine Disruption in Sheep Reproduction.,19-05-2022,Frontiers in endocrinology,"Journal Article,Review,Research Support, Non-U.S. Gov't","Phytoestrogens can impact on reproductive health due to their structural similarity to estradiol. Initially identified in sheep consuming estrogenic pasture, phytoestrogens are known to influence reproductive capacity in numerous species. Estrogenic pastures continue to persist in sheep production systems, yet there has been little headway in our understanding of the underlying mechanisms that link phytoestrogens with compromised reproduction in sheep. Here we review the known and postulated actions of phytoestrogens on reproduction, with particular focus on competitive binding with nuclear and non-nuclear estrogen receptors, modifications to the epigenome, and the downstream impacts on normal physiological function. The review examines the evidence that phytoestrogens cause reproductive dysfunction in both the sexes, and that outcomes depend on the developmental period when an individual is exposed to phytoestrogen.","Estrogens,Phytoestrogens,Receptors, Estrogen,Estradiol",,"clover disease,endocrine disruptor,phytoestrogen,reproduction,ruminant","Animals,Estradiol,Estrogens,Phytoestrogens,Receptors, Estrogen,Reproduction,Sheep"
36248052,8.447352322531446,Chronic Alcohol Consumption and its Impact on Bone and Metabolic Health - A Narrative Review.,19-10-2022,Indian journal of endocrinology and metabolism,"Journal Article,Review","Chronic consumption of a large quantity of alcohol often results in the disruption of the communication between the nervous, endocrine and immune systems leading to profound and serious consequences at the physiological and behavioral levels. The overall impact of excessive alcohol consumption on bone health, metabolic profile and body composition, especially at moderate levels, is not well understood. Chronic excessive alcohol consumption adversely affects bone health through multiple mechanisms leading to low bone mass. It may also be significantly associated with various components on the metabolic syndrome. This review summarizes the findings from published studies that provide consistent evidence on the various effects of alcohol abuse on the bone health and metabolism.",,,"Chronic alcohol consumption,low bone mass,metabolic syndrome",
36254710,8.441531810111643,Developmental Programming by Perinatal Glucocorticoids.,19-10-2022,Molecules and cells,"Journal Article,Review","Early-life environmental factors can have persistent effects on physiological functions by altering developmental procedures in various organisms. Recent experimental and epidemiological studies now further support the idea that developmental programming is also present in mammals, including humans, influencing long-term health. Although the mechanism of programming is still largely under investigation, the role of endocrine glucocorticoids in developmental programming is gaining interest. Studies found that perinatal glucocorticoids have a persistent effect on multiple functions of the body, including metabolic, behavioral, and immune functions, in adulthood. Several mechanisms have been proposed to play a role in long-term programming. In this review, recent findings on this topic are summarized and the potential biological rationale behind this phenomenon is discussed.",Glucocorticoids,,"adaptation,developmental endocrine,developmental programming,glucocorticoids,perinatal period,stress","Adult,Animals,Female,Glucocorticoids,Humans,Mammals,Pregnancy"
36077101,8.434083676289125,Targeted Mitochondrial Epigenetics: A New Direction in Alzheimer's Disease Treatment.,12-09-2022,International journal of molecular sciences,"Journal Article,Review","Mitochondrial epigenetic alterations are closely related to Alzheimer's disease (AD), which is described in this review. Reports of the alteration of mitochondrial DNA (mtDNA) methylation in AD demonstrate that the disruption of the dynamic balance of mtDNA methylation and demethylation leads to damage to the mitochondrial electron transport chain and the obstruction of mitochondrial biogenesis, which is the most studied mitochondrial epigenetic change. Mitochondrial noncoding RNA modifications and the post-translational modification of mitochondrial nucleoproteins have been observed in neurodegenerative diseases and related diseases that increase the risk of AD. Although there are still relatively few mitochondrial noncoding RNA modifications and mitochondrial nuclear protein post-translational modifications reported in AD, we have reason to believe that these mitochondrial epigenetic modifications also play an important role in the AD process. This review provides a new research direction for the AD mechanism, starting from mitochondrial epigenetics. Further, this review summarizes therapeutic approaches to targeted mitochondrial epigenetics, which is the first systematic summary of therapeutic approaches in the field, including folic acid supplementation, mitochondrial-targeting antioxidants, and targeted ubiquitin-specific proteases, providing a reference for therapeutic targets for AD.","DNA, Mitochondrial,Mitochondrial Proteins,RNA, Untranslated",,"Alzheimer’s disease,methylation,mitochondrial DNA,mitochondrial epigenetics,noncoding RNA,post-translational modification","Alzheimer Disease,DNA Methylation,DNA, Mitochondrial,Epigenesis, Genetic,Humans,Mitochondrial Proteins,RNA, Untranslated"
36143011,8.396095570467695,Implantation Failure in Endometriosis Patients: Etiopathogenesis.,28-09-2022,Journal of clinical medicine,"Journal Article,Review","Embryo implantation requires adequate dialogue between a good quality embryo and a receptive endometrium. This implantation is still considered as the black box of reproductive medicine. Endometriosis is a highly prevalent chronic inflammatory disease, concerning about 10% of women of reproductive age and is one of the major causes of female infertility. The mechanisms involved in endometriosis-related infertility, an event not yet completely understood, are multifactorial and include anatomical changes, reduction in ovarian reserve, endocrine abnormalities, genetic profile, immunity markers, inflammatory mediators, or altered endometrial receptivity. In this article, we will focus on the impact of endometriosis on embryo quality and on endometrial receptivity. Results: Poor oocyte and embryo quality seem to promote a lower pregnancy rate, more than the endometrium itself in women with endometriosis. Other studies report the contrary. In addition, hormonal imbalance observed in the endometrium could also alter the embryo implantation. Conclusions: Controversial results in the literature add difficulties to the understanding of the mechanisms that lead to embryo implantation disorders. Furthermore, either oocyte/embryo impairment, altered endometrium, or both may cause impaired implantation. New prospective, randomized, and controlled studies are necessary to determine the origin of the defects that make conception more difficult in the case of endometriosis and adenomyosis.",,,"adenomyosis,endometriosis,implantation disorders,infertility",
35877775,8.395082585413684,A simple method for the preparation of positive samples to preliminarily determine the quality of phosphorylation-specific antibody.,27-07-2022,PloS one,"Journal Article,Research Support, Non-U.S. Gov't","Protein phosphorylation is one of the most common and important post-translational modifications and is involved in many biological processes, including DNA damage repair, transcriptional regulation, signal transduction, and apoptosis regulation. The use of antibodies targeting phosphorylated protein is a convenient method to detect protein phosphorylation. Therefore, high-quality antibodies are essential, and uniform and effective standards are urgently needed to evaluate the quality of these phosphorylation-specific antibodies. In this study, we established a simple, broad-spectrum system for the preparation of phosphorylation-positive samples. The positive samples for evaluation of phosphorylation-specific antibodies were then validated in cells from different species and tissues, and also been proven effectively in western blot, enzyme-linked immunosorbent assays, LC-MS/MS and immunofluorescence analysis. Overall, our findings established a novel approach for evaluation of the quality of phosphorylation-specific antibodies and may have applications in various biomedical fields.",Antibodies,,,"Antibodies,Blotting, Western,Chromatography, Liquid,Phosphorylation,Protein Processing, Post-Translational,Tandem Mass Spectrometry"
36429030,8.386520276071009,Mitochondria Transfer in Brain Injury and Disease.,29-11-2022,Cells,"Journal Article,Review","Intercellular mitochondria transfer is a novel form of cell signalling in which whole mitochondria are transferred between cells in order to enhance cellular functions or aid in the degradation of dysfunctional mitochondria. Recent studies have observed intercellular mitochondria transfer between glia and neurons in the brain, and mitochondrial transfer has emerged as a key neuroprotective mechanism in a range of neurological conditions. In particular, artificial mitochondria transfer has sparked widespread interest as a potential therapeutic strategy for brain disorders. In this review, we discuss the mechanisms and effects of intercellular mitochondria transfer in the brain. The role of mitochondrial transfer in neurological conditions, including neurodegenerative disease, brain injury, and neurodevelopmental disorders, is discussed as well as therapeutic strategies targeting mitochondria transfer in the brain.",,,"brain,glia,mitochondria,neuron","Humans,Neurodegenerative Diseases,Mitochondria,Brain Injuries,Brain,Neurons"
36358904,8.331385340922706,Interferon Signaling in the Endometrium and in Endometriosis.,14-11-2022,Biomolecules,"Journal Article,Review,Research Support, N.I.H., Extramural","Endometriosis is an estrogen-dependent inflammatory disease that develops in reproductive-aged women who experience pelvic pain and infertility. Even though endometriosis is not a new disease, its molecular etiology has not been clearly elucidated. Defects in the immune system might be one of the factors that promote endometriosis progression. For example, elevated levels of proinflammatory cytokines are associated with endometriosis. Interferon is one of the cytokines that is elevated in endometriotic tissues compared with normal endometrium. Therefore, high interferon levels play a crucial role in endometriosis progression. In addition to endometriosis, however, interferon has a critical role in endometrial function, particularly in the initiation and maintenance of pregnancy. Therefore, this review describes the double-edged sword of interferon signaling in normal endometrial function versus endometriosis progression and also discusses interferon targeting as a new nonhormonal therapy for endometriosis. This approach may increase the efficacy of endometriosis treatment and reduce the adverse effects associated with current hormonal therapy for this disease.","Estrogens,Cytokines,Interferons",,"cytokine,endometriosis,endometrium,inflammatory disease,interferon","Pregnancy,Female,Humans,Adult,Endometriosis,Endometrium,Estrogens,Cytokines,Interferons"
36008949,8.322524372075618,Targeting Oxidative Stress Involved in Endometriosis and Its Pain.,29-08-2022,Biomolecules,"Journal Article,Review,Research Support, N.I.H., Extramural,Research Support, Non-U.S. Gov't","Endometriosis is a common gynecological disorder seen in women and is characterized by chronic pelvic pain and infertility. This disorder is becoming more prevalent with increased morbidity. The etiology of endometriosis remains to be fully elucidated, which will lead to improved therapeutic options. In this review, we will evaluate the biochemical mechanisms leading to oxidative stress and their implication in the pathophysiology of endometriosis, as well as potential treatments that target these processes. A comprehensive exploration of previous research revealed that endometriosis is associated with elevated reactive oxygen species and oxidation products, decreased antioxidants and detoxification enzymes, and dysregulated iron metabolism. High levels of oxidative stress contributed to inflammation, extracellular matrix degradation, angiogenesis, and cell proliferation, which may explain its role in endometriosis. Endometriosis-associated pain was attributed to neurogenic inflammation and a feed-forward mechanism involving macrophages, pro-inflammatory cytokines, and pain-inducing prostaglandins. N-acetylcysteine, curcumin, melatonin, and combined vitamin C and E supplementation displayed promising results for the treatment of endometriosis, but further research is needed for their use in this population.","Antioxidants,Reactive Oxygen Species",,"antioxidant,ferroptosis,inflammation,pain","Antioxidants,Endometriosis,Female,Humans,Oxidative Stress,Pain,Reactive Oxygen Species"
35628228,8.30943737753068,Role of Mitochondrial Dynamics in Cocaine's Neurotoxicity.,31-05-2022,International journal of molecular sciences,"Journal Article,Review","The dynamic balance of mitochondrial fission and fusion maintains mitochondrial homeostasis and optimal function. It is indispensable for cells such as neurons, which rely on the finely tuned mitochondria to carry out their normal physiological activities. The potent psychostimulant cocaine impairs mitochondria as one way it exerts its neurotoxicity, wherein the disturbances in mitochondrial dynamics have been suggested to play an essential role. In this review, we summarize the neurotoxicity of cocaine and the role of mitochondrial dynamics in cellular physiology. Subsequently, we introduce current findings that link disturbed neuronal mitochondrial dynamics with cocaine exposure. Finally, the possible role and potential therapeutic value of mitochondrial dynamics in cocaine neurotoxicity are discussed.",Cocaine,,"Drp1,cocaine,endoplasmic reticulum,mitochondrial dynamics,mitochondrial fission,mitochondrial fusion","Cocaine,Homeostasis,Mitochondria,Mitochondrial Dynamics,Neurons"
35809684,8.30193327802499,Primary neuroendocrine tumors and primary neuroendocrine carcinomas of the liver: a proposal for a multidiscipline definition.,05-09-2022,Human pathology,"Journal Article,Review","Primary hepatic neuroendocrine tumors and primary hepatic neuroendocrine carcinomas are rare and pose challenges for both diagnosis and for determining whether the tumor is primary to the liver versus metastatic disease. The lack of a uniform definition for primary hepatic neuroendocrine neoplasms is also a limitation to understanding and treating these rare tumors. Recently, there have been significant histological advances in the diagnosis and classification of neuroendocrine tumors in general, as well as significant advances in imaging for neuroendocrine neoplasms, all of which are important for their treatment. This article presents a multiple disciplinary definition and proposed guidelines for diagnosing a neuroendocrine tumor/neuroendocrine carcinomas as being primary to the liver.",,,"Hepatocellular,Liver,Neuroendocrine carcinoma,Neuroendocrine tumor,Primary",
36048239,8.29909302500978,Epigenetic regulation of pancreatic adenocarcinoma in the era of cancer immunotherapy.,27-10-2022,Journal of gastroenterology,"Journal Article,Review","Pancreatic adenocarcinoma is a lethal cancer with poor response to chemotherapy and immune checkpoint inhibitors. Recent studies suggest that epigenetic alterations contribute to its aggressive biology and the tumor microenvironment which render it unresponsive to immune checkpoint blockade. Here, we review our current understandings of epigenetic dysregulation in pancreatic adenocarcinoma, its effect on the tumor immune microenvironment, and the potential for epigenetic therapy to be combined with immune checkpoint inhibitors.",Immune Checkpoint Inhibitors,,"Epigenetics,Immune checkpoint blockade,Pancreatic adenocarcinoma","Humans,Pancreatic Neoplasms,Adenocarcinoma,Immune Checkpoint Inhibitors,Epigenesis, Genetic,Immunotherapy,Tumor Microenvironment"
