Endocrine disruptor assessment
Note: Group entries are split in different rows.
Export date: 23-Dec-2022 00:32:11
Last updated 20-Oct-2022. Database contains 107 unique substances/entries.

"Substance Identifier"	""	
"Status"	""	
"Outcome"	""	
"Authority"	""	
"Date of intention (from)"	""	
"Date of intention (to)"	""	
"Date of hazard assessment (from)"	""	
"Date of hazard assessment (to)"	""	
"Latest update (from)"	""	
"Latest update (to)"	""	



"Substance name"	"DISLIST_ED_description"	"EC / List no"	"CAS no"	"Authority"	"Status"	"Outcome"	"Latest update"	"First published"	
"potassium (oxido-<I>NNO</I>-azoxy)cyclohexane; cyclohexylhydroxydiazene 1-oxide, potassium salt; [K-HDO]"	""	"613-953-8"	"66603-10-9"	"Austria"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"14-May-2019"	
"Propyl 4-hydroxybenzoate"	""	"202-307-7"	"94-13-3"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"resorcinol; 1,3-benzenediol"	""	"203-585-2"	"108-46-3"	"Finland"	"Concluded"	"inconclusive"	"03-Feb-2021"	"12-Oct-2018"	
"resorcinol; 1,3-benzenediol"	""	"203-585-2"	"108-46-3"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"25-Oct-2018"	
"resorcinol; 1,3-benzenediol"	""	"203-585-2"	"108-46-3"	"France"	"Under development"	"Under development (other)"	"03-Feb-2021"	"06-Nov-2019"	
"Silver copper zeolite"	""	"868-573-7"	"130328-19-7"	"Sweden"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"08-Mar-2019"	
"Silver sodium zirconium hydrogenphosphate"	"ALPHASAN ANTIMICROBIAL RC 2000; ALPHASAN ANTIMICROBIAL RC 5000; NOVARON; SILVER SODIUM HYDROGEN ZIRCONIUM PHOSPHATE"	"422-570-3"	"155925-27-2"	"Sweden"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"12-Oct-2018"	
"silver zinc zeolite (Zeolite, LTA framework type, surface-modified with silver and zinc ions)[This entry covers LTA (Linde Type A) framework type zeolite which has been surface-modified with both silver and zinc ions at contents Ag+ 0,5 %-6 %, Zn2 + 5 %-16 %, and potentially with phosphorus, NH4+, Mg2+ and/or Ca2+ each at level < 3 %]"	""	"603-404-0"	"130328-20-0"	"Sweden"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"12-Oct-2018"	
"Sodium perchlorate"	""	"231-511-9"	"7601-89-0"	"Germany"	"Concluded"	"ED ENV"	"03-Feb-2021"	"12-Oct-2018"	
"Sodium perfluoroheptanoate"	""	"243-518-4"	"20109-59-5"	"Belgium"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"20-Jan-2021"	
"Sulphur dioxide"	""	"231-195-2"	"7446-09-5"	"Germany"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"14-May-2019"	
"Terbutryn"	""	"212-950-5"	"886-50-0"	"Slovakia"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"26-Nov-2020"	
"Tetramethrin"	""	"231-711-6"	"7696-12-0"	"Germany"	"Under development"	"Under development (BPR)"	"03-Feb-2021"	"09-Mar-2020"	
"Tributyl citrate"	""	"201-071-2"	"77-94-1"	"France"	"Under development"	"Under development (other)"	"03-Feb-2021"	"12-Oct-2018"	
"Triclosan"	""	"222-182-2"	"3380-34-5"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"06-Nov-2019"	
"Triphenyl phosphate"	""	"204-112-2"	"115-86-6"	"France"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Tris(2-ethylhexyl) benzene-1,2,4-tricarboxylate"	""	"222-020-0"	"3319-31-1"	"Austria"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"25-Jul-2019"	
"Ziram"	""	"205-288-3"	"137-30-4"	"Denmark"	"Under development under SEV"	"Under development (SEV)"	"03-Feb-2021"	"12-Oct-2018"	
"Chrysanthemum cinerariaefolium, ext."	"Extractives and their physically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from Chrysanthemum cinerariaefolium, Compositae."	"289-699-3"	"89997-63-7"	"Spain"	"Under development"	"Under development (BPR)"	"05-Feb-2021"	"14-May-2019"	
"Chrysanthemum cinerariaefolium, ext."	"Extractives and their physically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from Chrysanthemum cinerariaefolium, Compositae."	"289-699-3"	"89997-63-7"	"Spain"	"Under development"	"Under development (BPR)"	"05-Feb-2021"	"31-Jul-2019"	
"2,2-dibromo-2-cyanoacetamide"	""	"233-539-7"	"10222-01-2"	"Denmark"	"Concluded"	"ED ENV""ED HH"	"08-Mar-2021"	"08-Mar-2019"	
"Cyanamide"	""	"206-992-3"	"420-04-2"	"Germany"	"Concluded"	"ED ENV""ED HH"	"08-Mar-2021"	"14-May-2019"	
"1,2,4-triazole"	""	"206-022-9"	"288-88-0"	"Belgium"	"Postponed"	"postponed"	"26-May-2021"	"12-Oct-2018"	
"Methyl salicylate"	""	"204-317-7"	"119-36-8"	"France"	"Postponed"	"postponed"	"26-May-2021"	"12-Oct-2018"	
"Reaction products of paraformaldehyde and 2-hydroxypropylamine (ratio 3:2)"	""	"-"	"-"	"Austria"	"Under development"	"Under development (BPR)"	"02-Jun-2021"	"02-Jun-2021"	
"reaction products of paraformaldehyde with 2-hydroxypropylamine (ratio 1:1);[formaldehyde released from α,α,α-trimethyl-1,3,5-triazine-1,3,5(2H,4H,6H)-triethanol];[HPT]"	""	"-"	"-"	"Austria"	"Under development"	"Under development (BPR)"	"08-Jun-2021"	"02-Jun-2021"	
"Silver"	""	"231-131-3"	"7440-22-4"	"Sweden"	"Under development"	"Under development (BPR)"	"02-Jul-2021"	"02-Jul-2021"	
"dichloromethane; methylene chloride"	""	"200-838-9"	"75-09-2"	"Italy"	"Concluded"	"postponed"	"03-Sep-2021"	"12-Oct-2018"	
"4,4'-isopropylidenedi-o-cresol"	""	"201-240-0"	"79-97-0"	"Germany"	"Under development"	"Under development (SEV)"	"21-Sep-2021"	"21-Sep-2021"	
"4,4'-(1-methylpropylidene)bisphenol; bisphenol B"	""	"201-025-1"	"77-40-7"	"France"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"24-Oct-2018"	
"butyl 4-hydroxybenzoate"	""	"202-318-7"	"94-26-8"	"Denmark"	"Concluded"	"ED HH"	"27-Sep-2021"	"19-Sep-2019"	
"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)"	""	"799-972-3"	"-"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"Phenol, dodecyl-, branched"	""	"310-154-3"	"121158-58-5"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"phenol, 4-dodecyl-, branched"	""	"640-104-9"	"210555-94-5"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"Phenol, 4-isododecyl-"	""	"608-055-8"	"27147-75-7"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"Phenol, tetrapropylene-"	""	"-"	"57427-55-1"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"phenol, (tetrapropenyl) derivatives"	""	"616-100-8"	"74499-35-7"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"[No public or meaningful name is available]"	""	"-"	"27459-10-5"	"Germany"	"Concluded"	"ED ENV""ED HH"	"27-Sep-2021"	"19-Oct-2020"	
"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one"	""	"701-394-3"	"1782069-81-1"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"28-Sep-2021"	"12-Oct-2018"	
"Chloramide"	""	"234-217-9"	"10599-90-3"	"Sweden"	"Under development"	"Under development (BPR)"	"22-Oct-2021"	"22-Oct-2021"	
"2-methyl-1-(4-methylthiophenyl)-2-morpholinopropan-1-one"	"ACETOCURE 97; GENOCURE*PMP; IGM 4817; IRGACURE 907; SPEEDCURE 97"	"400-600-6"	"71868-10-5"	"Austria"	"Concluded"	"postponed"	"05-Nov-2021"	"14-May-2019"	
"Dapsone"	""	"201-248-4"	"80-08-0"	"Germany"	"Concluded"	"postponed"	"05-Nov-2021"	"12-Oct-2018"	
"Nitrobenzene"	""	"202-716-0"	"98-95-3"	"Austria"	"Concluded"	"postponed"	"05-Nov-2021"	"12-Oct-2018"	
"Nonylphenol, branched, ethoxylated"	"1 - 2.5 moles ethoxylated"	"500-209-1"	"68412-54-4"	"United Kingdom"	"Concluded"	"postponed"	"05-Nov-2021"	"05-Nov-2021"	
"1-[2-(allyloxy)-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole"	""	"252-615-0"	"35554-44-0"	"Germany"	"Concluded"	"postponed"	"11-Nov-2021"	"12-Oct-2018"	
"2-Ethylhexyl trans-4-methoxycinnamate"	""	"629-661-9"	"83834-59-7"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"08-Dec-2021"	"12-Oct-2018"	
"Isopentyl p-methoxycinnamate"	""	"275-702-5"	"71617-10-2"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"08-Dec-2021"	"12-Oct-2018"	
"1,1'-(isopropylidene)bis[3,5-dibromo-4-(2,3-dibromo-2-methylpropoxy)benzene]"	""	"306-832-3"	"97416-84-7"	"Germany"	"Postponed"	"postponed"	"05-Jan-2022"	"12-Oct-2018"	
"1,1'-(isopropylidene)bis[3,5-dibromo-4-(2,3-dibromopropoxy)benzene]"	""	"244-617-5"	"21850-44-2"	"Germany"	"Postponed"	"postponed"	"05-Jan-2022"	"12-Oct-2018"	
"Phenol, styrenated"	""	"262-975-0"	"61788-44-1"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"07-Feb-2022"	"12-Oct-2018"	
"dinotefuran (ISO); 1-methyl-2-nitro-3-(tetrahydro-3-furylmethyl)guanidine"	""	"605-399-0"	"165252-70-0"	"Belgium"	"Under development"	"Under development (BPR)"	"10-Feb-2022"	"10-Feb-2022"	
"Melamine"	""	"203-615-4"	"108-78-1"	"France"	"Under development"	"Under development (other)"	"10-Feb-2022"	"10-Feb-2022"	
"Sodium fluoride"	""	"231-667-8"	"7681-49-4"	"France"	"Under development"	"Under development (other)"	"10-Feb-2022"	"10-Feb-2022"	
"2-(4-tert-butylbenzyl)propionaldehyde"	""	"201-289-8"	"80-54-6"	"Sweden"	"Concluded"	"inconclusive"	"10-Mar-2022"	"12-Oct-2018"	
"tert-butyl methyl ether"	""	"216-653-1"	"1634-04-4"	"France"	"Concluded"	"inconclusive"	"10-Mar-2022"	"12-Oct-2018"	
"2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bisoxirane"	""	"216-823-5"	"1675-54-3"	"Denmark"	"Concluded"	"inconclusive"	"15-Mar-2022"	"12-Oct-2018"	
"Reaction mass of 2,6-bis(1-phenylethyl)phenol and 2,4,6-tris(1-phenylethyl)phenol"	""	"701-171-0"	"-"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"23-Mar-2022"	"23-Mar-2022"	
"Isobutyl 4-hydroxybenzoate"	""	"224-208-8"	"4247-02-3"	"Denmark"	"Under development"	"Under development (other)"	"29-Apr-2022"	"29-Apr-2022"	
"Carbon disulphide"	""	"200-843-6"	"75-15-0"	"France"	"Concluded"	"not ED"	"18-May-2022"	"21-Sep-2021"	
"1-[[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl]-1H-1,2,4-triazole"	""	"262-104-4"	"60207-90-1"	"Finland"	"Concluded"	"ED ENV""ED HH"	"23-May-2022"	"06-Nov-2019"	
"2,2'-dimethyl-4,4'-methylenebis(cyclohexylamine)"	""	"229-962-1"	"6864-37-5"	"Germany"	"Concluded"	"not ED"	"27-Jun-2022"	"12-Oct-2018"	
"3,5,5-trimethylcyclohex-2-enone"	""	"201-126-0"	"78-59-1"	"France"	"Postponed"	"postponed"	"26-Jul-2022"	"12-Oct-2018"	
"Reaction mass of 3-[(diphenoxyphosphoryl)oxy]phenyl triphenyl 1,3-phenylene bis(phosphate) and tetraphenyl 1,3-phenylene bis(phosphate)"	""	"701-337-2"	"-"	"France"	"Postponed"	"Under development (SEV)"	"26-Jul-2022"	"12-Oct-2018"	
"1-[4-(1,1-dimethylethyl)phenyl]-3-(4-methoxyphenyl)propane-1,3-dione"	""	"274-581-6"	"70356-09-1"	"Germany"	"Under development under SEV"	"Under development (SEV)"	"02-Aug-2022"	"02-Aug-2022"	
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)"	""	"-"	"-"	"Denmark"	"Concluded"	"ED HH"	"04-Aug-2022"	"20-Oct-2020"	
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one"	""	"253-242-6"	"36861-47-9"	"Denmark"	"Concluded"	"ED HH"	"04-Aug-2022"	"20-Oct-2020"	
"(3E)-1,7,7-trimethyl-3-(4-methylbenzylidene)bicyclo[2.2.1]heptan-2-one"	""	"701-394-3"	"1782069-81-1"	"Denmark"	"Concluded"	"ED HH"	"04-Aug-2022"	"20-Oct-2020"	
