Primary identifier,Name,Literature identifier,Study type,Endocrine-mediated endpoints,Endocrine mediated systems
CAS:58-89-9,Lindane,PMID:16641539,IVR,Increased liver weights in offspring,Developmental endocrine-mediated perturbations;Hepatic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:17537412,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:16641539,IVR,Increased weights of adrenal gland,Metabolic endocrine-mediated perturbations
CAS:58-89-9,Lindane,PMID:22240090,IVR,Induced migration capability of tumor cells,Endocrine-mediated cancer
CAS:58-89-9,Lindane,PMID:22240090,IVR,Induced migration capability of tumor cells,Endocrine-mediated cancer
CAS:58-89-9,Lindane,PMID:22240090,IVR,Induced migration capability of tumor cells,Endocrine-mediated cancer
CAS:58-89-9,Lindane,PMID:16641539,IVR,No significant effects observed,-
CAS:58-89-9,Lindane,PMID:16641539,IVR,Pregnancy complications,Reproductive endocrine-mediated perturbations
CID:10017512,3'-Methoxy-4'-nitroflavone,PMID:20823264,IVTH,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Decreased 17-OH-progesterone levels,Reproductive endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Decreased androstenedione levels,Reproductive endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Decreased progesterone levels,Reproductive endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Decreased testosterone levels,Reproductive endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Increased Dehydroepiandrosterone (DHEA) levels,Metabolic endocrine-mediated perturbations
CID:10143739,8:2 monoalkylated phosphate surfactants,PMID:23142464,IVTH,Increased estrone levels,Reproductive endocrine-mediated perturbations
CID:10208,Chrysophanic acid,PMID:11459643,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:10208,Chrysophanic acid,PMID:11459643,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:10208,Chrysophanic acid,PMID:11459643,IVTH,No significant effects observed,-
CID:102196968,Saisentong,PMID:19362454,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:102196968,Saisentong,PMID:19362454,IVR,Increased weights of thyroid gland,Metabolic endocrine-mediated perturbations
CID:102196968,Saisentong,PMID:19362454,IVR,No significant effects observed,-
CID:102196968,Saisentong,PMID:19362454,IVR,No significant effects observed,-
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:15635152,IVR,Affects neuronal differentiation,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:21554883,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:21554883,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:21554883,IVR,Affects sexual behavior,Neurological endocrine-mediated perturbations;Reproductive endocrine-mediated perturbations
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:15635152,IVR,No significant effects observed,-
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:15635152,IVR,No significant effects observed,-
CID:102614,"2,3-Bis(4-hydroxyphenyl)-propionitrile",PMID:15635152,IVR,No significant effects observed,-
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Abnormal estrous cycles,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Affects ovarian follicles population,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Affects uterine morphology,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Changes in haemocrit values,Immunological endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased liver weights,Hepatic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of pituitary gland,Neurological endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of pituitary gland,Neurological endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of pituitary gland,Neurological endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Decreased weights of seminal vesicles,Reproductive endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Hyperplasia in thyroid gland,Metabolic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Hyperplasia in thyroid gland,Metabolic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:19882337,IVR,Hyperplasia in thyroid gland,Metabolic endocrine-mediated perturbations
CID:102724,"4,4'-(Octahydro-4,7-methano-5H-inden-5-ylidene)bisphenol",PMID:17904329,IVR,Uterotrophic effect,Reproductive endocrine-mediated perturbations
CID:10313134,Manganese chloride,PMID:18603625,IVR,Decreased prolactin levels,Reproductive endocrine-mediated perturbations
CID:10313134,Manganese chloride,PMID:18603625,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:10342051,Esfenvalerate,PMID:18795170,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:10342051,Esfenvalerate,PMID:18795170,IVR,Increased estradiol levels,Reproductive endocrine-mediated perturbations
CID:10342051,Esfenvalerate,PMID:18795170,IVR,Increased estradiol levels,Reproductive endocrine-mediated perturbations
CID:10342051,Esfenvalerate,PMID:18795170,IVR,No significant effects observed,-
CID:1046,Pyrazinamide,PMID:29116933,IVR,Affects the biochemical composition of ovary,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Affects uterine morphology,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Changes in ovarian morphology,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Decreased FSH levels,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Decreased LH levels,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Decreased ovarian weights,Reproductive endocrine-mediated perturbations
CID:1046,Pyrazinamide,PMID:29116933,IVR,Decreased uterine weights,Reproductive endocrine-mediated perturbations
CID:104741,Fulvestrant,PMID:19371625,IVTH,Affects differentiation process,Developmental endocrine-mediated perturbations
CID:104741,Fulvestrant,PMID:20438831,IVR,Affects estrogen signaling,Reproductive endocrine-mediated perturbations
CID:104741,Fulvestrant,PMID:19371625,IVTH,Affects intracellular signaling pathway,Metabolic endocrine-mediated perturbations
CID:104741,Fulvestrant,PMID:15635152,IVR,Affects neuronal differentiation,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:104741,Fulvestrant,PMID:19371625,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:104741,Fulvestrant,PMID:15635152,IVR,No significant effects observed,-
CID:104741,Fulvestrant,PMID:15635152,IVR,No significant effects observed,-
CID:10491,Perfluorooctyl iodide,PMID:25871633,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:10491,Perfluorooctyl iodide,PMID:21990342,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:10491,Perfluorooctyl iodide,PMID:21990342,IVTH,Cancer phenotype,Endocrine-mediated cancer
CID:10491,Perfluorooctyl iodide,PMID:25871633,IVTH,No significant effects observed,-
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",PMID:17447562,IVTH,Affects cholesterol biosynthesis,Metabolic endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Affects neural development,Developmental endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Increase in T3 levels,Metabolic endocrine-mediated perturbations
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Increase in T3/T4 ratio,Metabolic endocrine-mediated perturbations
CID:105036,"4-Hydroxy-2',4',6'-trichlorobiphenyl",PMID:8318755,IVR,Increased uterine weights,Reproductive endocrine-mediated perturbations
CID:105075,Iron dextran,PMID:26536400,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CID:105075,Iron dextran,PMID:26536400,IVR,Affects folliculogenesis,Reproductive endocrine-mediated perturbations
CID:105075,Iron dextran,PMID:26536400,IVR,Oxidative stress in ovaries,Reproductive endocrine-mediated perturbations
CID:105075,Iron dextran,PMID:26536400,IVR,Oxidative stress in uterine,Reproductive endocrine-mediated perturbations
CID:10521,Malachite Green carbinol base,PMID:23037998,IVR,Uterotrophic effect,Reproductive endocrine-mediated perturbations
CID:10521,Malachite Green carbinol base,PMID:23037998,IVR,Uterotrophic effect,Reproductive endocrine-mediated perturbations
CID:10618,Noramidopyrine,PMID:29289696,IVTH,Decrease in corticosterone levels,Neurological endocrine-mediated perturbations
CID:10618,Noramidopyrine,PMID:29289696,IVTH,Decreased androgen levels,Reproductive endocrine-mediated perturbations
CID:10631,Medroxyprogesterone,PMID:14751673,IVR,Decreased cowper's gland weights,Reproductive endocrine-mediated perturbations
CID:10631,Medroxyprogesterone,PMID:14751673,IVR,Decreased prostate weights,Reproductive endocrine-mediated perturbations
CID:10631,Medroxyprogesterone,PMID:14751673,IVR,Decreased weights of bulbocavernosus muscles/LABC,Reproductive endocrine-mediated perturbations
CID:10631,Medroxyprogesterone,PMID:6458924,IVR,Increase in the number of abnormal sperms,Reproductive endocrine-mediated perturbations
CID:10631,Medroxyprogesterone,PMID:14751673,IVR,No significant effects observed,-
CID:107698,"1,2,3,4,6,7-Hexachloronaphthalene",PMID:10856028,IVR,Affects spermatogenesis,Reproductive endocrine-mediated perturbations
CID:107698,"1,2,3,4,6,7-Hexachloronaphthalene",PMID:10856028,IVR,Increased FSH levels,Reproductive endocrine-mediated perturbations
CID:107698,"1,2,3,4,6,7-Hexachloronaphthalene",PMID:10856028,IVR,Increased LH levels,Reproductive endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10739067,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:18025052,IVTH,Affects uterine morphology,Reproductive endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10739067,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:107862,"1,1'-Biphenyl, 2,2',4',5,5'-pentachloro-3-(methylsulfonyl)-",PMID:10330683,IVR,Increased weights of thyroid gland,Metabolic endocrine-mediated perturbations
CID:107904,Dityrosine,PMID:28624907,IVR,Affects catecholamine biosynthesis,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:107904,Dityrosine,PMID:28624907,IVR,Affects glucose metabolism,Metabolic endocrine-mediated perturbations
CID:107904,Dityrosine,PMID:28624907,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:107904,Dityrosine,PMID:28624907,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:107953,"3,3',4,4'-Tetrabromobiphenyl",PMID:17447562,IVTH,Affects corticosterone metabolism,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:107953,"3,3',4,4'-Tetrabromobiphenyl",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:107953,"3,3',4,4'-Tetrabromobiphenyl",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:107953,"3,3',4,4'-Tetrabromobiphenyl",PMID:17447562,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Hyperplasia in thyroid gland,Metabolic endocrine-mediated perturbations
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Increase in T3 levels,Metabolic endocrine-mediated perturbations
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,IVR,Increase in T3/T4 ratio,Metabolic endocrine-mediated perturbations
CID:108132,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-3'-(methylsulfonyl)-",PMID:10739067,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:108132,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-3'-(methylsulfonyl)-",PMID:10739067,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:18025052,IVTH,Affects uterine morphology,Reproductive endocrine-mediated perturbations
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:108178,"1,1'-Biphenyl, 2,2',4,5,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,IVR,Increase in T3 levels,Metabolic endocrine-mediated perturbations
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,IVR,Affects thyroid hormone metabolism,Metabolic endocrine-mediated perturbations
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10739067,IVR,Decrease in T4 levels,Metabolic endocrine-mediated perturbations
CID:108210,"1,1'-Biphenyl, 2,2',3,4,5'-pentachloro-4'-(methylsulfonyl)-",PMID:10330683,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:10908094,2-MeO-BDE-123,PMID:18313098,IVTH,Affects corticosterone metabolism,Metabolic endocrine-mediated perturbations;Neurological endocrine-mediated perturbations
CID:10908094,2-MeO-BDE-123,PMID:18313098,IVTH,Affects steroidogenesis,Reproductive endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Affects calcium signaling,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Affects calcium signaling,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Affects morphology of hepatocytes,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Affects morphology of hepatocytes,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in liver morphology,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in morphology of pituitary gland,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in morphology of pituitary gland,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Changes in morphology of thyroid gland,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased cholesterol levels,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased cholesterol levels,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased cholesterol levels,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased cholesterol levels,Metabolic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:10943,M-Dichlorobenzene,PMID:7497912,IVR,No significant effects observed,-
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Affects xenobiotic metabolism,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Decrease in T3 levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Elevated glucose levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Increase in TSH levels,Metabolic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,Increased liver weights,Hepatic endocrine-mediated perturbations
CID:10985889,Decabromodiphenyl ethane,PMID:29409581,IVR,No significant effects observed,-
CID:10986,Cadmium acetate,PMID:21933222,IVR,Affects sperm motility,Reproductive endocrine-mediated perturbations
